City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speeds
knysna,40,ZA,1574532085,77,-34.04,23.05,64.4,5.82
richards bay,49,ZA,1574531676,92,-28.77,32.06,74.52,10.83
boguchany,100,RU,1574532085,92,58.38,97.46,8.19,11.74
togur,100,RU,1574532085,93,58.36,82.83,5.32,10.25
xining,95,CN,1574532085,58,36.62,101.77,20.41,7.34
davenda,4,RU,1574532085,88,53.56,119.32,-16.11,2.21
carolina,40,PR,1574532085,61,18.38,-65.96,87.01,11.41
kalmunai,53,LK,1574531694,73,7.42,81.82,82.63,8.77
rafai,58,CF,1574532086,83,4.95,23.92,71.13,3.13
xiongzhou,40,CN,1574532086,100,32.34,118.83,64.99,2.24
kramat,2,ID,1574532086,79,-7.04,112.64,78.91,3.47
kiunga,86,PG,1574532086,98,-6.12,141.3,71.01,1.63
lesosibirsk,100,RU,1574532086,92,58.22,92.49,8.89,12.59
talakan,29,RU,1574532086,90,50.29,130.28,0.77,6.15
kosh-agach,3,RU,1574532086,73,49.99,88.66,-12.06,2.44
bumba,100,CD,1574532086,97,2.18,22.47,70.3,3.56
kvarkeno,7,RU,1574532087,90,52.08,59.73,14.2,7.67
oktyabrskiy,93,RU,1574532087,78,55.61,37.97,23.0,4.47
riohacha,20,CO,1574532087,66,11.54,-72.91,87.8,17.22
vilhena,40,BR,1574532087,62,-12.74,-60.15,84.2,10.29
vernon,90,CA,1574532010,79,50.27,-119.27,39.2,8.05
lianyuan,6,CN,1574532087,78,27.69,111.67,60.1,2.08
koulikoro,0,ML,1574531874,21,12.86,-7.56,93.2,5.82
srednekolymsk,86,RU,1574532087,99,67.46,153.71,-23.4,3.71
tigil,100,RU,1574531680,77,57.8,158.67,18.48,11.79
hasaki,75,JP,1574532088,100,35.73,140.83,64.4,13.87
severo-kurilsk,100,RU,1574532067,98,50.68,156.12,30.4,8.03
pirgos,20,GR,1574532088,87,35.12,25.72,64.0,6.93
makakilo city,90,US,1574532088,100,21.35,-158.09,78.8,6.93
ilebo,100,CD,1574531697,98,-4.33,20.59,68.14,1.39
san vicente,20,EC,1574532010,83,-0.59,-80.41,80.6,10.29
ust-barguzin,100,RU,1574532088,79,53.41,109.03,8.65,9.04
cerro de pasco,67,PE,1574532089,60,-10.67,-76.25,50.94,10.04
ordzhonikidze,0,UA,1574532089,61,44.96,35.36,43.56,16.89
oyama,90,JP,1574531689,93,36.31,139.8,59.0,11.41
umm kaddadah,1,SD,1574531693,18,13.6,26.69,78.78,10.87
raudeberg,51,NO,1574532089,75,61.99,5.14,45.0,6.93
kargasok,100,RU,1574532089,93,59.06,80.87,8.4,10.54
bahir dar,100,ET,1574532089,88,11.59,37.39,62.78,7.52
bethel,90,US,1574532078,100,60.79,-161.76,21.2,6.93
lata,30,IN,1574532089,58,30.78,78.62,18.46,8.5
tabou,78,CI,1574532089,78,4.42,-7.36,80.94,4.21
katsuura,20,JP,1574532090,87,33.93,134.5,53.6,10.29
laguna,40,BZ,1574532090,79,16.17,-88.94,84.2,3.58
itupiranga,75,BR,1574532090,83,-5.13,-49.33,80.6,2.24
staryy nadym,60,RU,1574532090,100,65.61,72.68,-5.21,7.09
touros,40,BR,1574532090,58,-5.2,-35.46,86.0,14.99
taltal,35,CL,1574532090,67,-25.41,-70.49,65.79,11.54
chuzhou,21,CN,1574532090,98,32.25,118.33,61.0,1.12
kodiak,1,US,1574532091,64,39.95,-94.76,42.01,13.87
zyryanka,100,RU,1574532091,98,65.73,150.89,-20.63,0.78
novyy urengoy,6,RU,1574532091,96,66.08,76.63,-11.72,10.36
jalu,46,LY,1574532011,21,29.03,21.55,67.95,10.49
bikapur,100,IN,1574532091,44,26.66,82.14,68.67,4.97
jerantut,80,MY,1574532091,99,3.94,102.37,71.1,1.01
shingu,45,JP,1574531704,70,33.72,135.99,66.24,8.63
singaparna,95,ID,1574532091,95,-7.35,108.11,69.57,0.89
ondjiva,0,AO,1574532091,13,-17.07,15.73,95.0,3.36
ouegoa,41,NC,1574532092,88,-20.34,164.44,62.67,4.0
karaton,20,ID,1574532092,83,-6.34,106.1,78.8,2.24
mendi,81,ET,1574532092,78,9.8,35.1,67.82,3.76
chepareria,100,KE,1574532092,94,1.32,35.2,64.53,4.94
bratsk,100,RU,1574532092,84,56.15,101.63,6.8,6.71
coihaique,75,CL,1574531515,45,-45.58,-72.07,62.6,4.7
ostrovnoy,100,RU,1574531664,94,68.05,39.51,23.94,17.27
meleuz,52,RU,1574532092,84,52.96,55.93,15.39,8.63
seoul,40,KR,1574531355,100,37.57,126.98,46.4,1.12
egvekinot,0,RU,1574532093,77,66.32,-179.17,-7.67,8.41
morag,45,PL,1574531957,83,53.92,19.93,33.01,14.36
muros,40,ES,1574531664,100,42.77,-9.06,55.99,2.24
kango,58,GA,1574532093,93,0.19,10.1,76.6,3.53
zuwarah,61,LY,1574532093,43,32.93,12.08,71.22,10.58
winnemucca,1,US,1574532093,69,40.97,-117.74,41.0,2.59
loa janan,100,ID,1574532093,92,-0.58,117.09,73.81,0.78
hauterive,20,CA,1574532093,68,49.18,-68.27,30.2,11.41
sindou,0,BF,1574532093,22,10.66,-5.16,86.61,2.3
nhulunbuy,40,AU,1574532094,88,-12.18,136.78,75.2,5.41
udachnyy,90,RU,1574532094,75,66.42,112.4,-20.2,2.24
mattawa,75,CA,1574532094,80,46.32,-78.7,39.0,12.75
road town,20,VG,1574532094,58,18.42,-64.62,86.0,6.93
bhusawal,31,IN,1574532094,55,21.05,75.78,74.07,3.6
tymovskoye,9,RU,1574532094,64,50.85,142.66,27.54,11.23
north bend,75,US,1574532094,100,43.41,-124.22,48.0,3.36
batagay,0,RU,1574532089,94,67.65,134.64,-37.08,2.66
salihorsk,100,BY,1574532095,38,52.79,27.54,24.57,14.54
caravelas,49,BR,1574532095,63,-17.73,-39.27,85.55,16.55
subkhankulovo,84,RU,1574532095,90,54.56,53.81,14.04,6.69
plouzane,75,FR,1574532095,93,48.38,-4.62,50.0,9.17
damphu,32,BT,1574532095,94,27.07,90.11,51.84,3.58
havoysund,76,NO,1574531695,79,71.0,24.66,32.0,11.41
nuevo progreso,90,US,1574532095,63,26.05,-97.95,66.2,8.05
metro,88,ID,1574531699,89,-5.11,105.31,75.97,5.86
karratha,100,AU,1574532095,57,-20.74,116.85,83.53,16.98
sibolga,100,ID,1574531702,97,1.74,98.78,71.94,1.43
dicabisagan,54,PH,1574532096,86,17.08,122.42,77.0,5.79
mega,100,ET,1574532096,86,4.06,38.32,67.39,10.65
umm lajj,0,SA,1574532096,49,25.02,37.27,70.63,4.29
sale,74,AU,1574532052,88,-38.11,147.06,57.0,3.8
neiafu,90,TO,1574531691,94,-18.65,-173.98,73.4,12.57
solnechnyy,38,RU,1574532096,88,50.72,136.64,10.17,1.34
xianyang,90,CN,1574532096,62,34.31,108.72,53.6,6.71
goderich,22,CA,1574532010,77,43.74,-81.71,39.99,11.01
taretan,40,MX,1574532096,64,19.33,-101.92,73.4,4.45
masaka,82,UG,1574532096,87,-0.34,31.75,69.53,14.0
nabire,100,ID,1574532096,96,-3.36,135.5,71.06,1.95
da lat,69,VN,1574531698,99,11.95,108.44,57.85,2.57
roma,40,IT,1574531425,67,41.89,12.48,66.0,21.92
kaputa,100,ZM,1574532097,91,-8.47,29.66,67.46,5.93
ilo,1,PE,1574532097,64,-17.65,-71.34,75.2,9.17
bambous virieux,75,MU,1574532054,78,-20.34,57.76,80.6,2.24
wilmington,68,US,1574531641,56,39.75,-75.55,46.0,3.62
imeni babushkina,10,RU,1574532097,84,59.76,43.13,14.47,3.91
isabela,92,PH,1574532097,91,10.2,122.99,71.08,5.53
tankhoy,74,RU,1574532097,63,51.55,105.12,8.37,9.13
puro,55,PH,1574532098,88,13.13,123.76,79.27,8.46
the valley,40,AI,1574532079,57,18.22,-63.06,86.0,9.17
kharitonovo,100,RU,1574532098,93,61.4,47.5,18.86,4.94
te anau,96,NZ,1574532098,86,-45.41,167.72,54.1,11.45
orizona,64,BR,1574532098,70,-17.03,-48.3,78.71,11.45
oranjemund,0,ZA,1574532098,73,-28.55,16.43,60.03,14.09
mecca,45,SA,1574531583,60,21.43,39.83,76.15,3.22
san jose,7,HN,1574532099,61,14.25,-87.96,78.1,2.93
bestobe,47,KZ,1574532099,89,52.5,73.1,3.11,12.41
port hawkesbury,90,CA,1574532099,74,45.62,-61.36,32.0,19.46
saurimo,100,AO,1574532099,93,-9.66,20.4,68.04,3.11
novopavlovka,100,KG,1574532099,83,42.87,74.49,32.0,2.24
sinazongwe,55,ZM,1574531706,67,-17.26,27.46,82.02,3.91
tilichiki,0,RU,1574532099,81,60.47,166.1,-2.54,5.88
ormara,84,PK,1574532099,62,25.21,64.64,76.03,6.42
san cristobal,46,HN,1574532099,62,14.68,-86.92,78.49,4.09
khasan,100,RU,1574532099,95,42.43,130.64,40.42,4.9
kathmandu,20,NP,1574532100,93,27.71,85.32,55.4,3.36
moron,63,HT,1574532100,64,18.56,-74.26,81.01,4.45
zarand,61,IR,1574532100,59,30.81,56.57,35.6,4.7
san felipe,21,CL,1574532100,89,-32.75,-70.73,81.0,8.08
nouadhibou,33,MR,1574532100,68,20.93,-17.03,71.6,13.87
tangjiazhuang,100,CN,1574532101,73,33.27,105.76,36.73,10.65
sherpur,11,BD,1574532101,71,25.02,90.01,68.95,3.69
monrovia,40,LR,1574532101,74,6.33,-10.8,86.0,6.93
rochester,8,US,1574531878,68,44.02,-92.46,41.0,5.01
deputatskiy,100,RU,1574532073,92,69.3,139.9,-23.28,4.43
inta,100,RU,1574532101,96,66.04,60.13,24.42,12.93
anastacio,33,BR,1574532101,29,-20.48,-55.81,99.21,5.06
puerto montt,90,CL,1574532101,59,-41.47,-72.94,66.2,13.87
bagotville,0,AU,1574532101,88,-28.98,153.42,69.8,9.17
kassala,0,SD,1574532102,52,15.45,36.38,81.05,8.79
verkhnyaya inta,100,RU,1574532102,96,65.99,60.32,23.72,11.95
gunjur,17,GM,1574532102,36,13.18,-16.76,93.2,8.05
challans,90,FR,1574532102,76,46.85,-1.88,50.0,10.29
krasnyy klyuch,95,RU,1574532102,96,55.39,56.65,14.77,4.12
husavik,62,CA,1574532102,84,50.56,-96.99,34.0,5.99
kirakira,43,SB,1574531699,88,-10.46,161.92,74.55,5.93
flin flon,75,CA,1574532103,86,54.77,-101.88,30.2,5.82
ust-nera,85,RU,1574532103,95,64.57,143.24,-38.7,2.37
ola,100,RU,1574532103,79,59.58,151.3,19.15,31.25
campoverde,40,EC,1574532103,42,-0.91,-78.62,66.2,3.36
jiuquan,18,CN,1574532103,49,39.73,98.49,11.5,4.27
grindavik,75,IS,1574532103,93,63.84,-22.43,41.0,4.7
lamu,76,CN,1574532104,73,35.77,102.37,17.08,4.18
manta,100,RO,1574532104,90,45.1,24.1,37.45,4.21
jurm,63,AF,1574532104,85,36.86,70.83,26.37,0.85
cockburn town,11,TC,1574532104,66,21.46,-71.14,79.0,14.83
salgado,20,BR,1574532104,62,-11.03,-37.48,86.0,16.11
langsa,90,ID,1574532104,93,4.47,97.97,75.04,3.76
tamandare,100,BR,1574532104,66,-8.28,-70.75,82.6,5.03
longyearbyen,75,NO,1574532104,72,78.22,15.63,17.6,2.24
tulun,100,RU,1574532104,72,54.56,100.58,7.81,7.34
kamskoye ustye,0,RU,1574532105,72,55.2,49.27,15.8,11.18
leshukonskoye,99,RU,1574532105,93,64.9,45.76,26.67,6.2
chebenki,75,RU,1574532105,92,51.93,55.71,15.8,6.71
lasem,2,ID,1574532105,79,-6.99,112.52,78.91,3.47
ketchikan,90,US,1574532105,93,55.34,-131.65,46.4,20.8
luchegorsk,100,RU,1574532105,74,46.44,134.3,26.15,5.12
oudtshoorn,40,ZA,1574532105,77,-33.59,22.2,64.4,5.82
high level,40,CA,1574532105,55,58.52,-117.13,39.2,10.29
great falls,75,US,1574532105,36,47.5,-111.29,50.0,26.4
vuktyl,76,RU,1574532105,97,63.86,57.31,22.01,2.08
dwarka,40,IN,1574532106,68,28.58,77.04,77.0,5.82
xai-xai,0,MZ,1574532106,75,-25.04,33.64,80.24,7.05
sola,100,TZ,1574532106,88,-3.17,33.8,67.3,13.06
parabel,100,RU,1574532106,92,58.71,81.5,5.29,9.71
zheshart,99,RU,1574532106,96,62.09,49.59,22.37,4.72
puerto baquerizo moreno,40,EC,1574532107,64,-0.9,-89.6,75.2,14.99
idah,84,NG,1574532107,57,7.11,6.73,84.16,0.78
srandakan,8,ID,1574532056,90,-7.94,110.25,74.86,2.68
mwanza,75,TZ,1574532107,88,-2.52,32.9,69.8,18.34
agadir,40,MA,1574532108,77,30.42,-9.58,66.2,10.29
san andres,32,PH,1574532108,92,13.32,122.68,76.82,5.5
half moon bay,1,US,1574532108,66,37.46,-122.43,61.0,6.13
lazaro cardenas,40,MX,1574532108,58,28.39,-105.62,60.01,6.93
beringovskiy,0,RU,1574532108,84,63.05,179.32,7.03,15.75
foumban,15,CM,1574532108,74,5.73,10.9,73.27,5.35
meulaboh,99,ID,1574532108,81,4.14,96.13,80.22,3.02
bolshoye nagatkino,0,RU,1574532108,62,54.52,47.97,21.2,8.95
semenivka,86,UA,1574532109,31,52.18,32.58,23.74,9.1
nueva gerona,6,CU,1574532109,67,21.88,-82.8,80.4,10.09
champerico,40,MX,1574532109,61,16.38,-93.6,82.4,3.36
porto torres,75,IT,1574532109,93,40.84,8.4,55.4,12.75
lima,40,PE,1574531909,73,-12.06,-77.04,71.6,14.99
yumen,0,CN,1574532110,29,40.29,97.04,9.43,12.71
palmerston,78,AU,1574532110,74,-12.49,130.99,80.6,4.7
sisimiut,100,GL,1574532110,71,66.94,-53.67,27.1,17.85
tayu,75,JP,1574532110,77,35.06,136.67,60.8,11.41
susehri,100,TR,1574532110,49,40.16,38.09,34.23,3.74
destin,75,US,1574532051,78,30.39,-86.5,77.0,17.22
sharanga,0,RU,1574532110,53,57.18,46.54,18.88,5.32
monywa,0,MM,1574532111,75,22.12,95.13,71.01,1.59
novaya zaimka,100,RU,1574532111,95,56.49,66.92,20.41,8.19
merritt,1,CA,1574531870,65,50.11,-120.79,46.4,21.92
balaka,100,MW,1574532111,78,-14.99,34.96,75.22,7.16
wagga wagga,0,AU,1574532111,55,-35.12,147.37,62.6,6.93
bilma,0,NE,1574532111,14,18.69,12.92,80.33,6.96
teguldet,100,RU,1574532112,87,57.31,88.17,4.68,13.85
nuuk,75,GL,1574532112,64,64.17,-51.74,37.4,32.21
meadow lake,20,CA,1574532010,52,54.13,-108.44,46.4,25.28
vikhorevka,100,RU,1574532112,84,56.12,101.17,6.8,6.71
liwale,100,TZ,1574532112,76,-9.8,37.92,77.25,5.5
preetz,100,DE,1574532112,87,54.24,10.28,45.0,18.34
la asuncion,99,AR,1574532112,91,-26.05,-65.39,62.38,2.3
kamaishi,100,JP,1574532112,94,39.28,141.86,54.21,9.84
rovenki,0,RU,1574532113,37,49.91,38.89,21.74,10.87
broome,20,GB,1574532113,93,52.47,1.45,50.0,5.82
bayir,40,TR,1574532113,87,37.27,28.22,57.2,3.36
bonavista,100,CA,1574531683,84,48.65,-53.11,39.0,11.01
avera,75,US,1574532113,68,33.19,-82.53,71.6,11.41
charleston,1,US,1574532113,64,32.79,-79.94,73.0,13.87
aksu,83,KZ,1574532113,77,52.04,76.93,5.0,6.71
kasongo-lunda,99,CD,1574532114,96,-6.48,16.82,70.02,1.48
huancavelica,82,PE,1574532114,61,-12.79,-74.97,48.09,12.41
aguimes,40,ES,1574532114,78,27.91,-15.45,71.6,14.99
jumla,61,NP,1574532114,66,29.28,82.18,39.06,4.63
sorong,100,ID,1574531685,99,-0.86,131.25,72.63,1.19
chipinge,44,ZW,1574532114,83,-20.19,32.62,72.43,6.04
constantine,75,DZ,1574532114,71,36.36,6.61,50.0,11.41
marovoay,40,MG,1574532114,83,-16.11,46.64,82.4,6.93
hazleton,1,US,1574532115,48,40.96,-75.99,43.0,6.93
labuhan,100,ID,1574531690,94,-2.54,115.51,72.88,1.83
mahalingpur,0,IN,1574532115,61,16.38,75.12,69.55,6.78
shimoda,100,JP,1574531680,94,34.7,138.93,64.0,1.99
belyy yar,73,RU,1574532115,78,53.6,91.39,10.4,4.47
imeni poliny osipenko,1,RU,1574532115,74,52.42,136.49,4.08,4.14
wanxian,100,CN,1574532115,70,30.8,108.39,58.3,1.66
nkhata bay,100,MW,1574532115,71,-11.61,34.3,84.07,6.38
hashtrud,0,IR,1574532116,65,37.48,47.05,30.04,3.87
wenling,99,CN,1574532116,97,28.38,121.38,66.0,5.08
sucua,90,EC,1574532116,83,-2.46,-78.17,71.6,5.82
tautira,75,PF,1574532116,65,-17.73,-149.15,82.4,2.24
salinopolis,100,BR,1574532116,79,-0.61,-47.36,81.5,13.49
mandalgovi,0,MN,1574532116,53,45.76,106.27,0.3,11.79
shahr-e babak,6,IR,1574532116,26,30.12,55.12,46.47,5.7
saravan,0,AM,1574532117,59,39.72,45.65,35.6,6.93
el ejido,20,ES,1574532117,31,36.78,-2.82,64.4,18.34
kandrian,32,PG,1574532117,90,-6.21,149.55,71.08,5.26
hashimoto,0,JP,1574531919,91,34.32,135.62,57.0,3.04
feijo,75,EC,1574532117,78,-3.63,-79.92,89.6,4.7
kozyatyn,90,UA,1574532117,85,49.71,28.83,21.2,15.66
fostoria,1,US,1574532118,56,43.24,-95.16,39.99,8.05
vaitape,92,PF,1574532118,78,-16.52,-151.75,80.87,16.89
san miguel,0,AR,1574532118,49,-34.54,-58.72,79.0,16.11
valenca,59,BR,1574532118,59,-13.37,-39.07,86.83,7.67
paveh,18,IR,1574532118,52,35.05,46.36,42.8,13.87
ballina,75,IE,1574532118,100,54.11,-9.15,46.99,6.93
port keats,63,AU,1574532118,70,-14.25,129.55,84.04,3.91
gotsu,34,JP,1574532118,63,35.01,132.22,64.29,5.32
fayaoue,81,NC,1574532119,70,-20.65,166.53,72.52,18.7
mayumba,10,GA,1574532119,84,-3.44,10.65,80.29,12.8
itarema,20,BR,1574532119,50,-2.92,-39.92,90.16,13.89
nicolas bravo,5,MX,1574532119,22,24.39,-104.74,68.0,3.38
kibala,48,TD,1574532119,45,9.11,18.35,86.0,2.42
struer,100,DK,1574532120,87,56.48,8.6,48.0,19.46
ugento,20,IT,1574532120,88,39.93,18.16,62.6,8.05
apiai,29,BR,1574532120,93,-24.51,-48.84,73.33,6.15
saint anthony,40,US,1574532120,61,43.97,-111.68,37.99,4.7
waitati,100,NZ,1574532120,93,-45.75,170.57,55.0,5.01
hue,20,VN,1574532120,94,16.47,107.58,68.0,2.24
phangnga,20,TH,1574532120,78,8.45,98.53,78.8,8.05
borzya,100,RU,1574532121,81,50.39,116.53,-2.13,11.12
aasiaat,100,GL,1574532121,81,68.71,-52.87,29.03,19.95
comodoro rivadavia,75,AR,1574532121,68,-45.87,-67.48,64.4,4.7
samana,75,EC,1574532121,70,0.12,-76.97,84.2,3.36
carnduff,89,CA,1574532121,81,49.17,-101.8,33.01,5.99
batie,100,FR,1574532121,93,45.06,5.82,52.0,8.05
quixeramobim,92,BR,1574532122,25,-5.2,-39.3,97.27,7.09
yudong,76,CN,1574532122,91,32.02,121.36,64.99,1.52
miri,6,NG,1574531689,20,10.31,9.75,81.07,2.84
southbridge,1,US,1574532122,41,42.08,-72.03,45.0,10.29
formosa do rio preto,100,BR,1574532122,45,-11.04,-45.19,87.87,3.18
ojinaga,1,US,1574532122,38,29.56,-104.41,63.0,4.7
barra do garcas,63,BR,1574531648,37,-15.89,-52.26,96.87,2.35
bud,40,NO,1574532122,62,62.91,6.91,41.0,9.17
mikumi,100,TZ,1574532123,86,-7.4,36.98,73.49,1.16
sinop,96,TR,1574532123,82,42.03,35.15,54.19,9.19
harindanga,0,IN,1574532123,88,22.04,88.32,69.8,4.52
persianovskiy,0,RU,1574532123,58,47.51,40.11,24.8,20.13
am timan,38,TD,1574532123,16,11.04,20.28,78.53,4.36
trairi,95,BR,1574532123,46,-3.28,-39.27,89.76,8.86
ardakan,82,IR,1574532123,81,32.31,54.02,44.6,4.7
iskateley,100,RU,1574532123,98,67.68,53.15,32.94,5.88
gubkinskiy,0,RU,1574532123,95,64.43,76.5,-10.89,11.18
mahon,75,IE,1574532143,93,51.89,-8.4,46.99,13.87
suez,0,EG,1574532143,55,29.97,32.54,64.67,5.73
palauig,34,PH,1574532143,79,15.44,119.9,74.93,2.28
nago,75,IT,1574532143,82,45.88,10.89,57.2,16.11
saint-georges,34,CA,1574532068,74,46.12,-70.67,26.01,11.99
kirkwall,100,GB,1574532143,87,58.98,-2.96,48.2,9.17
liliani,17,PK,1574531983,52,32.21,72.95,63.18,5.82
dera bugti,96,PK,1574532145,60,29.03,69.15,63.14,1.7
saint-leu,90,RE,1574532145,83,-21.15,55.28,78.8,12.75
bambanglipuro,8,ID,1574532145,90,-7.95,110.28,74.86,2.68
kavaratti,91,IN,1574531936,74,10.57,72.64,83.59,4.68
austin,1,US,1574531894,54,30.27,-97.74,63.0,8.05
state college,1,US,1574532146,60,40.79,-77.86,43.0,7.18
sembakung,100,ID,1574532146,94,3.82,117.25,75.43,3.76
longmont,1,US,1574532132,46,40.17,-105.1,50.0,4.7
benjamin hill,84,MX,1574532146,48,30.17,-111.1,69.01,3.0
puertollano,1,ES,1574532146,69,38.69,-4.11,48.99,10.0
boynton beach,1,US,1574532146,36,40.55,-74.25,46.99,6.17
matamoros,90,US,1574532146,63,25.87,-97.51,66.2,8.05
kifri,0,IQ,1574532146,34,34.69,44.96,58.15,0.98
saint-louis,0,SN,1574531695,48,16.03,-16.5,86.0,9.17
angoche,68,MZ,1574532146,74,-16.23,39.91,82.58,10.36
hargeysa,73,SO,1574532146,91,9.56,44.06,66.61,13.82
lyudinovo,91,RU,1574532147,34,53.86,34.45,23.67,8.34
minot,20,US,1574531923,64,48.23,-101.3,39.99,10.29
asadabad,34,IR,1574532147,92,34.78,48.12,30.2,2.24
koumac,41,NC,1574532147,88,-20.56,164.28,62.67,4.0
dunedin,100,NZ,1574532147,93,-45.87,170.5,55.0,5.01
taoudenni,2,ML,1574532147,20,22.68,-3.98,74.3,6.38
takoradi,24,GH,1574532147,77,4.89,-1.75,82.35,7.96
alice town,74,BS,1574532147,61,25.72,-79.3,76.14,10.54
cangzhou,82,CN,1574532147,83,38.3,116.85,46.92,12.37
tongliao,100,CN,1574532148,31,43.61,122.27,23.68,11.88
bourail,82,NC,1574532148,80,-21.57,165.5,64.56,1.66
corn island,13,NI,1574532148,73,12.17,-83.04,81.84,3.87
concepcion del oro,16,MX,1574532148,34,24.63,-101.42,67.1,3.69
kearney,1,US,1574532148,65,40.7,-99.08,46.99,13.87
port lincoln,0,AU,1574532134,78,-34.72,135.86,51.6,1.95
fremont,1,US,1574532101,66,37.55,-121.99,61.0,1.9
pochutla,20,MX,1574531673,55,15.74,-96.47,89.6,10.51
leh,11,IN,1574532148,58,34.16,77.58,19.51,2.24
sao filipe,45,CV,1574532148,73,14.9,-24.5,74.34,10.18
tacna,90,PE,1574531933,50,-18.01,-70.25,75.2,10.29
ayia galini,20,GR,1574532149,87,35.1,24.68,62.6,6.93
chitral,71,PK,1574532149,67,35.85,71.79,18.18,3.62
bocas del toro,0,PA,1574532149,76,9.33,-82.25,70.0,6.91
payakumbuh,100,ID,1574532149,98,-0.23,100.63,67.35,1.52
nurota,84,UZ,1574532149,50,40.56,65.69,30.2,4.7
virar,26,IN,1574532149,66,19.47,72.8,84.2,4.7
thabazimbi,48,ZA,1574532149,61,-24.59,27.41,75.15,13.31
turka,100,RU,1574532150,66,52.95,108.22,14.41,20.6
floro,90,NO,1574532150,75,61.6,5.03,45.0,6.93
manicore,96,BR,1574532133,55,-5.81,-61.3,89.37,3.0
sault sainte marie,1,CA,1574532150,56,46.49,-84.36,42.8,10.29
pangai,100,TO,1574532150,62,-19.8,-174.35,74.73,9.73
conde,75,BR,1574532150,82,-11.81,-37.61,79.27,15.73
mlowo,79,TZ,1574532150,84,-9.01,33.0,65.73,1.86
valls,20,ES,1574532150,54,41.28,1.25,57.0,35.57
dongsheng,89,CN,1574532151,56,29.72,112.52,65.48,7.09
cap malheureux,75,MU,1574532151,78,-19.98,57.61,80.6,2.24
vila velha,20,BR,1574531668,62,-3.71,-38.6,86.0,17.22
miami beach,1,US,1574532151,74,45.45,-84.56,41.0,9.17
pacific grove,1,US,1574532151,58,36.62,-121.92,61.0,12.39
birsk,88,RU,1574532151,93,55.42,55.54,15.44,6.4
alcains,0,PT,1574532027,69,39.92,-7.46,51.01,4.0
tongchuan,90,CN,1574532152,62,34.9,108.95,53.6,6.71
kupang,0,ID,1574532152,77,-10.16,123.6,80.73,3.98
port macquarie,90,AU,1574532152,88,-31.43,152.91,69.8,5.82
starychi,90,UA,1574532152,92,49.97,23.55,30.99,13.42
nantucket,1,US,1574532152,45,41.28,-70.1,46.0,13.87
orito,75,CO,1574532152,70,0.67,-76.88,84.2,3.36
murgab,75,TM,1574532152,69,37.5,61.97,37.4,13.87
coruche,20,PT,1574532152,76,38.96,-8.53,57.2,6.93
alpena,1,US,1574531656,51,45.06,-83.43,45.0,9.17
kijang,60,KR,1574532153,87,35.24,129.21,51.8,4.7
smirnykh,58,RU,1574532153,77,49.74,142.83,35.65,4.36
zambezi,100,ZM,1574532153,93,-13.55,23.12,68.18,2.39
usinsk,100,RU,1574532153,96,66.0,57.56,27.41,9.84
marrakesh,90,MA,1574532153,82,31.63,-7.99,62.6,3.36
qostanay,90,KZ,1574532067,92,53.17,63.58,26.6,11.18
okha,84,RU,1574532153,77,53.59,142.95,20.73,20.45
batemans bay,100,AU,1574532153,87,-35.71,150.18,55.0,5.01
kikerino,85,RU,1574532153,79,59.47,29.63,19.99,6.71
kenmare,75,IE,1574532154,93,51.88,-9.58,46.4,3.36
princeton,1,US,1574531995,36,40.35,-74.66,46.99,5.12
braintree,100,GB,1574532154,100,51.88,0.55,51.8,11.41
lazarev,25,RU,1574532154,63,52.23,141.51,19.6,17.07
cotonou,40,BJ,1574532154,79,6.37,2.43,86.0,8.05
rabak,0,SD,1574532154,18,13.18,32.74,87.64,14.27
wajima,100,JP,1574532154,70,37.4,136.9,62.26,7.09
sumbe,40,AO,1574532154,74,-11.2,13.84,80.6,13.87
totma,10,RU,1574532154,84,59.98,42.76,14.47,3.91
kayerkan,97,RU,1574532154,83,69.35,87.76,-9.4,15.66
along,100,IN,1574532154,97,28.17,94.8,60.8,0.89
porangatu,62,BR,1574532155,45,-13.44,-49.14,90.66,3.56
dharan,45,NP,1574532155,91,26.81,87.28,55.33,1.95
aklera,99,IN,1574532155,51,24.41,76.57,70.75,6.87
pelym,87,RU,1574532155,95,61.01,62.0,22.03,8.01
vero beach,40,US,1574532155,54,27.64,-80.4,81.0,9.17
pringsewu,46,ID,1574532063,98,-5.36,104.98,70.93,2.04
balabac,99,PH,1574532155,76,7.99,117.06,81.05,1.61
viesca,5,MX,1574532155,59,25.34,-102.81,72.0,4.7
dale,7,CN,1574532155,65,24.09,109.99,63.1,3.78
humaita,40,AR,1574532156,51,-24.93,-65.37,80.6,5.82
havelock,90,US,1574532156,71,34.88,-76.9,62.6,6.93
durant,1,US,1574532156,46,33.99,-96.37,53.6,9.17
arshan,1,YE,1574532156,81,14.32,46.95,64.71,6.82
la primavera,75,AR,1574532156,73,-32.92,-68.67,73.4,4.7
kabo,95,CF,1574532156,35,7.69,18.62,81.1,3.2
balikpapan,79,ID,1574532156,93,-1.24,116.86,73.24,1.28
rosarito,75,CO,1574532156,77,4.91,-75.23,77.0,9.17
rongcheng,94,CN,1574532156,61,37.16,122.42,57.0,1.01
bela vista,100,BR,1574532156,30,-22.11,-56.53,98.58,8.57
stepnyak,9,KZ,1574532157,91,52.83,70.79,6.58,10.09
